food_name,energy_kcal,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg
Chicken sweet and sour,445.09,5583.19,9338.18,27686.40,32.47,21.98,77.46,13.05,1809.94,153.46,0.93,0.09
Chicken korma,147.96,1864.37,1828.76,3105.99,23.66,68.66,123.22,29.57,119.21,277.53,1.06,0.19
Bengal fish curry (Bengali machli curry),109.43,1572.69,3341.41,1449.01,13.92,44.44,95.07,27.62,76.38,207.98,0.85,0.08
Fish finger,542.90,7271.08,11528.49,34548.42,30.00,11.38,67.87,12.17,103.55,135.39,0.38,0.04
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,2118.42,492.67,1035.87,17.13,21.94,99.28,23.46,73.93,190.38,0.91,0.10
Prawn curry (with coconut) (Jhinga curry),109.55,2466.34,1037.81,2379.04,37.12,37.25,115.45,35.67,375.86,150.65,0.96,0.23
Baked stuffed fish,121.96,2888.68,1141.42,813.98,36.95,18.80,182.00,29.35,74.36,242.97,0.35,0.06
Fish pie,120.90,3348.72,1359.11,552.32,23.97,36.15,123.74,24.55,101.80,316.28,0.46,0.07
Crispy baked fish,138.40,3546.25,1436.51,584.93,28.89,60.04,147.43,24.23,192.42,208.73,0.55,0.07
Fish souffle,139.71,4629.53,2325.81,708.10,84.69,63.87,148.86,18.50,92.45,167.34,0.59,0.05
Potato curry (Aloo ki sabzi),89.56,548.66,961.12,2684.73,0.00,23.74,38.19,25.30,78.40,383.45,0.97,0.10
Egg curry (Anda curry),117.52,1676.70,2417.37,3865.28,120.74,41.59,83.17,21.72,142.12,198.53,1.52,0.10
Vegetable curry with coconut ,83.07,1806.59,659.09,1488.59,0.00,19.63,33.58,23.16,43.40,215.47,0.95,0.12
Curd with potatoes (Dahi aloo),59.90,539.65,579.46,1432.54,1.45,36.36,43.34,15.87,51.99,259.27,0.47,0.05
Potato kofta curry (Aloo kofta curry),455.40,6069.45,10159.06,30803.69,2.60,7.77,13.24,6.90,30.12,97.57,0.26,0.03
Yam kofta curry (Zimikand/Suran kofta curry),322.88,4280.24,6973.53,21150.96,3.54,8.35,15.20,8.55,42.22,109.02,0.31,0.05
Jackfruit kofta curry (Kathal ka kofta curry),321.08,4279.45,6978.52,21145.48,3.54,11.36,10.97,8.78,40.04,79.59,0.24,0.05
Spinach and potato (Palak aloo),57.17,394.95,532.95,1712.18,0.00,43.67,31.34,49.44,62.46,457.28,1.59,0.12
Mooli bhujia,91.20,903.09,4077.92,1643.67,0.00,131.88,41.21,40.41,89.73,282.60,2.37,0.18
Bathua bhujia,90.90,908.66,4068.55,1670.72,0.00,165.84,36.77,43.74,81.99,387.93,2.36,0.10
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,3823.56,2935.26,1905.27,32.90,31.54,92.25,20.93,118.05,252.57,0.98,0.08
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,2530.90,2248.07,2858.41,18.79,29.82,75.47,26.41,123.98,425.86,0.95,0.14
Dry arbi (Sookhi arbi),134.95,1098.14,1839.85,5631.39,0.00,22.77,50.67,25.76,81.25,322.90,0.68,0.18
Masala arbi,185.38,1448.02,2417.55,7464.85,0.00,32.08,74.02,35.19,261.31,467.53,0.99,0.27
Peas brinjal bhartha (Matar baingan bhartha),84.55,751.37,1205.36,3769.39,0.00,19.63,33.02,22.00,63.65,224.01,0.63,0.11
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,1153.17,1883.92,5827.37,0.00,67.88,49.02,52.60,92.78,233.03,0.88,0.12
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,8460.50,14440.07,44532.29,0.00,27.61,27.93,20.56,40.42,90.14,0.56,0.06
Beans foogath,105.06,3045.03,1404.54,3683.60,0.00,44.20,42.52,30.98,81.22,259.29,0.95,0.10
Stuffed bittergourd (wet) (Bharwa karele),162.36,1900.97,3100.73,9587.57,0.00,17.25,34.61,24.19,360.09,246.15,0.91,0.09
Jackfruit/Kathal (dry),488.97,6230.40,10621.65,32777.55,0.00,12.79,11.06,11.71,33.68,106.26,0.33,0.07
Yam fried (Zimikand/Suran fried),491.76,6231.64,10613.90,32786.05,0.00,8.11,17.62,11.35,37.07,151.93,0.43,0.08
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,695.82,1102.61,3454.94,0.00,21.05,40.55,25.64,86.29,305.30,0.98,0.11
Vegetable jalfrezi,68.48,557.13,871.26,2716.43,0.00,27.11,33.26,22.88,79.46,270.92,0.68,0.08
Vegetables stir fry ,30.78,191.15,298.34,893.23,0.00,13.30,15.82,8.61,55.00,115.07,0.34,0.04
Broccoli delight,40.70,339.45,1244.07,642.19,0.00,26.99,48.00,17.10,59.26,257.82,0.71,0.06
Dhansak (vegetarian),82.80,938.35,759.43,2048.04,0.00,26.40,57.86,28.30,34.18,264.50,1.26,0.18
Cauliflower basket,90.95,3279.82,1617.38,424.12,51.10,100.19,143.16,20.59,194.22,258.16,0.92,0.05
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,3076.25,1840.20,316.31,45.61,71.83,115.29,13.73,106.99,149.44,0.66,0.05
Ducheese potato,140.54,5117.53,2469.01,551.93,85.15,18.10,67.45,20.30,103.85,423.33,0.76,0.08
Roast potatoes ,87.32,1391.15,555.20,200.14,5.51,10.38,42.96,23.89,90.67,528.24,0.57,0.09
Stuffed baked potatoes ,100.20,2195.36,1305.07,392.67,72.99,25.72,71.59,20.95,92.09,429.14,0.81,0.08
Potato nests,111.62,2756.07,1299.70,292.43,26.50,55.25,110.19,25.91,182.12,341.01,0.87,0.12
Parsley potato,119.51,3882.47,1554.64,329.75,15.71,11.43,42.08,22.56,4.62,502.76,0.55,0.08
Creamed spinach and mushroom,419.62,6817.79,9201.70,26166.05,7.15,65.49,64.23,27.09,90.21,217.24,0.90,0.07
Fricassee of Mushroom,106.66,4004.75,1679.32,301.91,13.55,84.97,95.57,12.24,118.98,151.77,0.36,0.05
Cauliflower au gratin,145.90,6187.80,2593.28,413.39,22.15,119.69,126.89,15.99,164.96,181.30,0.57,0.05
Vegetable and cheese pie,126.88,5105.38,2142.87,367.96,18.88,99.48,116.19,19.44,117.99,243.97,0.58,0.07
Spinach souffle ,150.18,5747.93,2987.38,744.55,114.71,133.69,167.05,53.00,244.07,385.31,2.15,0.12
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,679.53,789.69,283.46,82.25,18.13,48.27,6.48,110.12,66.99,0.55,0.04
Sour cream potato salad,121.90,744.99,3418.24,1550.73,47.29,23.25,55.18,19.19,102.66,367.59,0.90,0.12
Tossed green salad,49.88,75.74,42.35,146.31,0.00,33.71,27.50,19.14,65.09,211.22,1.27,0.06
Spring basket salad,160.46,925.39,6627.54,3094.02,8.17,45.65,51.17,20.75,26.02,252.19,0.85,0.08
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,550.46,215.54,89.41,2.87,68.49,65.68,21.87,141.73,215.51,0.52,0.04
Chicken and tomato towers,100.55,595.33,2885.48,1329.04,20.73,17.54,66.90,17.28,76.02,212.83,0.77,0.12
Jellied sunshine fruit salad,48.86,106.77,128.81,563.90,0.00,37.14,25.75,17.23,74.20,144.01,0.87,0.08
Tomato aspic,50.37,71.65,26.87,139.51,0.00,44.28,26.75,20.76,98.17,192.77,1.18,0.08
Frozen frosty fruit salad (Phalon ka salaad),103.51,2497.01,1138.40,210.76,26.33,28.61,34.43,7.96,13.23,103.47,0.41,0.04
French dressing,733.77,11391.88,58150.57,6582.82,0.00,6.98,3.76,4.54,261.13,27.43,0.48,0.03
Mayonnaise without eggs,329.05,6121.46,23426.99,2655.53,0.00,75.54,61.07,6.83,193.58,81.04,0.27,0.03
Curd dressing ,78.80,1835.27,758.89,110.92,10.52,194.59,164.76,19.93,204.62,283.26,0.18,0.01
Carrot raita (Gajar ka raita),64.78,1248.86,536.54,177.65,6.98,146.72,126.28,22.13,274.46,293.77,0.55,0.05
Pumpkin raita (Kaddu ka raita),55.60,1144.27,497.58,100.94,6.47,130.11,109.33,17.42,129.14,258.97,0.33,0.03
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,2128.49,2350.98,1322.48,8.26,191.01,172.07,48.55,223.01,365.46,1.68,0.12
Spinach raita (Palak ka raita),52.75,1034.85,438.54,214.47,5.41,142.96,101.73,54.45,126.57,458.18,1.61,0.09
Bathua raita,54.40,1003.84,421.70,177.06,5.41,206.31,104.17,35.47,110.92,366.14,1.46,0.06
Pineapple raita (Ananas ka raita),67.74,1228.46,539.52,103.78,6.93,134.53,114.15,18.80,135.48,239.89,0.27,0.03
Banana raita (Kele ka raita),89.03,1247.00,534.24,130.30,6.93,133.23,116.44,24.32,135.43,308.83,0.31,0.05
