food_name,energy_kcal,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg
Hot tea (Garam Chai),16.14,321.50,144.18,16.39,0.00,14.20,11.50,1.04,3.12,13.95,0.02,0.01
Instant coffee,23.16,451.17,202.33,23.00,0.00,20.87,18.19,3.63,4.92,44.50,0.06,0.01
Espreso coffee,51.54,1291.67,580.16,66.21,0.00,58.10,50.25,8.57,13.98,103.86,0.15,0.04
Iced tea,10.34,5.47,0.00,5.47,0.00,1.18,0.58,0.39,0.23,5.22,0.02,0.00
Raw mango drink (Aam panna),35.92,6.14,5.89,9.43,0.00,7.08,3.34,4.25,79.82,31.45,0.14,0.03
Fruit Punch (with fresh juices),36.12,6.21,1.30,10.08,0.00,5.07,10.24,3.20,2.63,33.43,0.10,0.01
Fruit Punch (with squashes),23.13,5.23,1.63,7.07,0.00,3.30,9.27,1.88,2.26,16.65,0.06,0.01
Lemonade,20.80,4.65,0.04,5.30,0.00,1.84,0.67,0.73,28.52,5.73,0.05,0.01
Lem-o-gin,21.52,9.41,1.47,13.20,0.00,2.20,1.59,1.86,28.13,14.17,0.09,0.01
Cumin infused water (Jeere/Zeere ka pani),9.09,14.50,40.04,33.53,0.00,10.84,4.47,5.28,189.60,32.15,0.32,0.02
Coco pine cooler,32.75,627.31,248.96,41.50,3.40,17.81,13.47,6.59,23.20,66.65,0.13,0.01
Summer cooler,22.43,10.71,1.87,16.85,0.00,8.13,11.46,7.62,1.57,93.06,0.28,0.01
Hot cocoa,90.10,2752.15,1257.17,139.48,0.00,113.66,101.41,16.05,24.20,132.15,0.31,0.09
Cold coffee with ice cream,67.85,1283.98,567.96,67.66,1.17,53.29,44.98,7.26,13.84,90.27,0.12,0.03
Banana milkshake (Kele milkshake),65.31,1423.07,634.17,87.19,0.00,62.64,52.77,7.92,13.61,102.43,0.13,0.03
Mango milkshake (Aam milkshake),56.90,1394.57,633.56,88.45,0.00,62.33,50.50,6.17,13.27,79.07,0.15,0.03
Pineapple milkshake (Ananas milkshake),55.72,1336.79,599.51,68.15,0.00,59.92,47.88,5.14,14.05,65.68,0.11,0.02
Orange milkshake (Narangi milkshake),57.42,1525.07,683.94,77.75,0.00,67.42,55.47,5.30,14.63,73.43,0.11,0.02
Egg nog,97.14,2633.51,1536.21,299.55,60.30,102.13,107.24,8.99,40.65,115.14,0.43,0.04
Sweet Lassi (Meethi lassi),35.66,431.64,178.53,22.60,2.49,45.65,38.46,4.38,18.31,63.50,0.03,0.01
Lassi (salted),18.84,451.64,191.60,26.17,2.60,47.78,40.39,4.84,65.40,67.37,0.04,0.00
Cheese and chilli sandwich ,218.11,5276.39,2277.00,351.37,23.05,113.79,89.98,18.86,437.50,142.31,0.99,0.10
Egg sandwich (Ande ka sandwich),285.96,8437.21,4047.35,733.87,121.63,110.13,107.32,18.88,461.67,129.59,1.44,0.11
Cucumber sandwich (Kheere ka sandwich),188.60,4322.51,1808.72,287.53,17.53,87.84,62.30,21.60,362.64,154.06,1.02,0.09
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,7259.18,3109.01,440.30,34.35,199.73,195.37,21.52,571.96,143.39,1.04,0.10
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,6949.08,2976.77,438.74,32.88,191.20,187.97,20.97,549.71,148.52,1.00,0.09
Chicken sandwich,253.27,4795.68,2264.61,412.47,42.06,89.56,121.57,21.59,389.67,196.08,1.19,0.19
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,5981.63,5583.70,2667.60,17.53,94.03,134.27,56.19,364.99,252.82,1.58,0.28
Rainbow sandwich,272.75,7021.96,2934.21,411.22,31.16,172.04,149.85,20.43,612.49,143.97,1.20,0.10
Club sandwich ,235.32,6110.90,5725.71,1625.38,31.26,115.68,128.02,18.60,461.66,169.00,0.86,0.08
Vegetarian club sandwich,198.33,4721.69,3935.81,1208.38,23.13,122.44,120.49,18.65,305.36,159.77,0.77,0.07
Pin wheel sandwich,311.52,2856.30,13907.46,5907.96,179.52,67.75,111.59,13.69,374.39,110.30,1.36,0.08
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,5161.20,2211.03,628.98,21.05,118.05,97.76,31.49,302.88,228.82,1.80,0.14
Salami sandwich,255.59,6875.04,5531.68,1238.08,33.35,73.54,88.61,20.81,662.75,194.06,1.11,0.10
Vegetable and mayonnaise sandwich,244.26,4467.60,6614.60,2487.48,21.87,79.53,55.55,16.70,342.70,143.10,0.91,0.09
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,5164.06,2761.66,611.98,95.63,95.71,95.47,18.11,423.26,150.47,1.30,0.10
Sweet open sandwich,244.25,4453.81,1778.49,289.97,18.05,85.18,60.50,22.74,205.27,230.97,1.15,0.13
Mushroom and cheese sandwich (toasted),227.42,7548.33,3185.63,525.33,35.12,172.35,196.85,21.16,456.57,198.37,0.84,0.09
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,7543.30,3193.44,477.81,35.12,169.22,173.20,19.04,457.94,148.53,0.82,0.08
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.90,576.47,962.91,2954.18,0.00,64.15,61.80,26.66,262.63,342.73,1.11,0.12
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,4540.44,2891.99,3093.70,0.00,274.10,190.78,27.81,268.90,127.84,1.26,0.13
Chicken sandwich (toasted),167.37,1141.78,725.92,213.09,26.57,99.99,147.95,20.67,327.55,203.56,0.99,0.17
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,2222.37,1918.95,274.92,27.29,70.79,115.55,26.19,290.07,234.35,1.51,0.13
Classic club sandwich,200.83,4632.53,4002.40,1496.11,62.87,107.73,127.98,20.02,277.49,167.57,1.09,0.08
Sesame toast,495.19,5926.63,10168.23,30988.81,0.00,43.44,36.67,15.34,128.78,172.98,0.72,0.07
Cracked wheat porridge (Meetha daliya),81.57,1828.16,1007.44,870.97,0.00,75.88,59.92,5.18,15.89,71.44,0.32,0.02
Semolina porridge (Suji/Rava daliya),100.89,2440.75,1096.57,147.48,0.00,108.52,95.42,10.23,23.21,123.99,0.36,0.06
Oatmeal Porridge,72.85,1764.70,918.84,246.98,0.02,76.83,80.12,10.97,16.14,91.03,0.28,0.04
Cornflakes with milk,117.33,2784.82,1530.43,370.58,0.00,106.47,108.43,14.98,26.55,132.88,0.42,0.06
Rice flakes (Chiwda/Aval),112.44,2367.63,1093.92,181.40,0.00,103.15,104.43,15.61,22.40,115.40,0.62,0.06
Wheat flakes,112.44,2367.63,1093.92,181.40,0.00,103.15,104.43,15.61,22.40,115.40,0.62,0.06
Murmura (Puffed rice),113.32,2342.03,1052.35,123.97,0.00,103.79,99.79,14.18,22.52,114.53,0.63,0.06
Puffed wheat (Murmure/Moori),113.32,2342.03,1052.35,123.97,0.00,103.79,99.79,14.18,22.52,114.53,0.63,0.06
Boiled egg (Ubla anda),45.35,981.64,1154.18,385.02,121.19,17.75,61.74,4.88,170.94,50.91,0.64,0.03
Fried Egg ,223.67,3969.30,5413.97,8405.42,316.88,46.40,161.43,12.75,446.96,133.13,1.69,0.08
Poached egg,123.87,2646.91,3112.17,1038.18,326.79,48.24,167.21,14.79,1163.07,141.30,1.75,0.08
Scrambled egg (Ande ki bhurji),155.97,5674.17,3944.74,1021.83,273.60,64.59,155.18,12.41,374.66,136.01,1.42,0.07
Baked egg ,218.85,6173.04,3702.29,838.99,204.36,164.05,236.01,17.94,523.29,143.69,1.48,0.09
Plain omelette/omlet,272.41,4620.50,6433.86,12775.58,255.94,48.40,140.01,10.22,226.18,114.08,1.35,0.06
Stuffed egg omelette/omlet,203.51,4762.88,4522.70,7171.77,154.38,89.91,182.39,14.15,267.19,161.72,0.91,0.06
Pancake,203.36,2766.08,2526.38,4767.85,35.93,79.49,101.29,13.56,143.70,116.83,0.69,0.07
Keema pancake,176.27,4774.82,3416.92,2148.88,46.43,40.96,110.68,16.95,125.40,198.42,0.93,0.07
Vegetable pancake,125.18,2574.50,1578.67,1920.98,19.32,42.89,63.25,19.91,116.69,230.72,0.79,0.09
Jam and fruit pancake,162.02,1792.72,1632.64,3082.64,23.09,54.06,68.54,11.90,93.09,110.42,0.52,0.06
Khoa and coconut pancake,271.98,6999.29,2755.89,3040.07,21.35,157.22,151.28,22.61,101.00,205.43,1.12,0.10
Brown stock,21.32,2.98,1.64,7.67,0.00,17.16,16.78,0.72,44.60,36.68,0.30,0.00
Vegetable stock,17.60,853.56,343.84,67.21,3.46,5.08,5.43,2.64,49.75,30.05,0.12,0.01
Chicken stock,29.88,139.34,167.22,66.51,10.23,3.57,30.82,4.25,58.58,56.12,0.18,0.05
Clear tomato soup (Tamatar ka soup),80.07,851.47,1414.00,4382.48,0.00,29.05,50.31,22.39,5135.74,232.95,1.14,0.05
Lentil soup,31.17,568.31,231.83,109.95,2.19,40.57,96.89,36.61,10418.84,350.26,2.26,0.10
Chicken consomme (Clear chicken soup),47.94,819.65,1205.06,595.91,17.00,35.48,102.45,32.35,8953.64,305.39,1.82,0.06
Cream of tomato soup,97.81,2374.48,1898.59,3845.49,5.47,39.61,56.77,19.75,4461.22,205.66,0.95,0.05
Cream of green peas soup,127.84,2672.93,2142.50,4324.33,6.19,51.01,76.14,29.97,4999.70,242.60,1.48,0.11
Cream of spinach soup,100.54,2433.50,1903.39,3918.17,5.47,70.77,64.44,52.29,4429.81,404.13,2.10,0.10
Cream of mixed vegetable soup,59.65,2015.64,852.77,171.60,7.05,65.26,94.33,27.05,5655.45,255.87,1.36,0.07
Cream of mushroom soup,117.28,2922.18,2330.75,4743.45,6.74,70.56,106.93,24.31,5276.06,249.79,1.81,0.08
Chicken sweet corn soup,28.32,106.18,155.20,113.22,6.37,91.50,177.67,41.64,12205.33,362.15,3.83,0.11
Minestrone soup,42.66,787.84,334.79,103.83,3.70,53.55,101.30,31.06,8875.06,299.64,1.82,0.06
Egg drop soup,26.64,929.73,583.38,160.37,31.67,100.14,170.96,39.39,12418.84,346.42,3.93,0.09
Chinese cabbage and meat ball soup,484.31,6459.89,10712.21,32686.77,5.83,41.07,64.93,15.07,4249.41,147.10,1.52,0.04
French onion soup,55.61,2424.63,995.75,166.59,10.59,106.22,167.13,37.54,11202.89,320.67,3.52,0.10
Hot and sour soup,31.51,199.04,223.12,125.98,17.91,10.68,34.22,7.53,163.26,93.43,0.43,0.05
Talaumein soup,35.63,257.74,354.08,793.19,12.40,42.33,101.54,37.81,11088.14,340.97,2.23,0.06
Cold cucumber soup (Thanda kheere ka soup),48.03,1232.66,523.24,98.37,7.06,99.79,98.44,15.83,121.32,171.02,0.32,0.03
Cold summer garden soup,49.19,2460.77,990.52,183.14,10.12,43.93,86.54,38.89,9919.63,361.43,2.13,0.07
Chapati/Roti,202.31,1737.22,796.67,538.89,6.83,17.22,175.00,69.44,1.16,172.78,2.28,0.27
Plain parantha/paratha,298.30,2035.63,3380.49,10573.12,0.00,14.81,150.67,59.91,62.07,148.89,1.98,0.23
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,1241.03,2032.35,6381.79,0.00,17.38,107.56,46.11,127.20,272.88,1.52,0.18
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,1161.33,1896.26,5939.95,0.00,23.75,98.85,41.98,127.03,206.44,1.39,0.16
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,1168.14,1868.38,5892.41,0.00,22.00,103.43,44.53,190.03,222.94,1.59,0.16
Dal parantha/paratha,268.24,1556.72,2583.40,8046.57,0.00,23.89,158.21,63.15,156.13,268.85,2.45,0.30
Sprouted moong parantha/paratha,228.59,1508.61,2482.22,7749.82,0.00,20.33,120.66,49.59,153.94,150.07,1.94,0.19
Pea parantha/paratha (Matar ka parantha/paratha),190.73,1065.83,1758.68,5488.28,0.00,23.49,103.50,49.23,109.99,197.71,1.78,0.22
Keema parantha/paratha,238.09,3212.76,3659.35,6122.01,25.66,19.35,152.13,43.62,140.62,213.77,1.80,0.17
Paneer parantha/paratha,262.97,3429.66,3237.83,7067.94,0.00,127.65,181.47,48.99,142.52,141.55,1.70,0.19
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,1478.47,2414.97,7507.21,0.00,33.07,101.72,53.30,177.19,251.93,1.85,0.18
Poori,737.63,9623.96,15940.30,48777.58,1.58,3.98,40.35,16.07,31.73,39.91,0.60,0.07
Spinach poori (Palak poori),684.25,8919.32,14753.28,45156.08,1.46,10.02,39.97,21.42,35.47,84.67,0.79,0.08
Methi poori,710.02,9255.95,15318.20,46887.28,1.51,14.61,41.04,18.01,35.37,48.54,0.81,0.07
Dal stuffed poori,785.16,10132.77,16769.68,51322.12,1.66,6.88,53.37,22.74,128.18,81.94,0.83,0.09
Potato stuffed poori (Aloo ki poori),776.74,10088.42,16705.94,51123.28,1.65,5.57,45.05,18.52,69.86,71.98,0.70,0.08
Tandoori parantha/paratha,295.37,9543.83,4226.47,1092.69,39.77,14.98,150.90,59.88,1.14,148.98,1.96,0.23
Boiled rice (Uble chawal),117.19,50.00,28.89,72.00,0.00,2.70,46.67,8.91,1.05,47.33,0.24,0.09
Plain pulao,140.21,585.27,946.98,2865.54,0.00,12.76,42.93,12.30,193.76,74.74,0.41,0.09
Mixed vegetable pulao,113.05,427.80,671.57,2058.53,0.00,19.61,44.58,17.60,187.92,133.82,0.60,0.11
Mushroom pulao,124.29,511.58,814.50,2498.46,0.00,13.54,49.03,13.23,222.36,108.70,0.39,0.09
Sprouted moong pulao,112.97,464.80,729.65,2220.15,0.00,16.26,42.22,13.05,153.16,95.52,0.65,0.08
Paneer pulao,581.91,7617.56,12348.22,37341.27,0.00,33.09,35.47,6.11,72.28,31.25,0.26,0.05
Peanut pulao ,193.28,1641.26,3376.43,4083.54,0.00,18.52,91.56,38.11,168.40,159.16,0.83,0.21
Navratan pulao,261.71,1703.75,2268.66,4982.27,0.00,59.61,107.10,32.27,334.26,185.63,1.10,0.22
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,587.75,1007.47,2846.60,0.00,18.94,72.14,21.62,170.05,164.60,0.95,0.17
Mutton biryani/biriyani,190.76,714.75,935.61,2609.10,0.40,68.58,94.87,19.12,262.64,212.05,1.29,0.12
Vegetable biryani/biriyani,174.61,1274.58,1942.70,5841.21,0.27,33.52,59.38,24.37,183.79,242.50,0.86,0.12
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.30,1232.11,2472.67,3775.38,0.00,12.70,77.42,29.94,187.11,152.57,0.77,0.16
Sweet rice (Meethe chawal),215.41,2409.38,1377.46,361.35,9.55,11.38,39.74,11.13,3.20,56.08,0.34,0.11
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,1595.74,1009.27,1392.21,3.12,101.52,133.75,24.28,213.29,211.78,0.59,0.13
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,2643.60,2460.18,2781.06,7.70,50.94,147.53,58.32,162.41,369.08,2.89,0.37
Spanish rice,164.24,315.58,435.80,1330.75,0.00,18.93,69.95,21.13,96.61,190.33,0.92,0.16
Chinese fried rice,120.58,952.97,1319.85,2741.71,52.09,34.70,70.05,18.99,248.36,210.87,0.99,0.09
Macroni cheese pie,170.63,4429.56,1955.48,419.11,15.99,122.01,162.88,19.78,200.51,156.11,0.54,0.09
Vegetable chowmein,129.71,795.86,1254.13,3937.86,0.00,28.33,56.26,21.67,258.47,201.59,0.99,0.09
Chicken chowmein,151.33,968.75,1496.62,4214.87,10.73,26.10,77.93,21.81,288.15,225.32,0.89,0.13
Cheese noodle ring,133.67,3321.54,1715.81,431.16,55.67,99.30,140.95,20.45,241.96,176.93,0.79,0.09
Spaghetti and cheese balls in tomato sauce,508.32,7373.75,10795.82,31606.38,3.83,40.59,39.59,8.73,104.14,68.28,0.32,0.05
Penne platter,177.40,2136.86,4920.39,1072.46,2.29,67.67,87.01,21.93,283.37,202.22,0.90,0.11
Pasta hot pot,125.17,2683.04,1884.61,1351.12,27.19,55.28,100.04,17.09,231.17,215.22,0.82,0.07
Chicken lasagne,187.49,5062.30,2431.58,487.58,50.38,119.98,190.02,18.11,238.55,176.85,0.64,0.12
Fettuccine with spinach sauce,129.21,2898.78,3757.31,628.94,10.29,53.67,64.04,34.19,153.59,247.35,1.28,0.10
Naan,286.45,2749.48,1219.12,438.43,10.15,88.01,245.77,27.53,326.11,166.24,1.29,0.13
Bhatura,793.20,9971.81,16934.05,52234.33,0.38,12.12,39.05,4.89,28.30,30.07,0.33,0.03
Idli,137.54,72.42,44.49,138.65,0.00,8.00,79.30,25.44,100.83,158.13,0.68,0.14
Masala dosa,164.58,964.81,1609.59,4867.08,0.00,15.58,62.57,26.62,191.28,271.77,0.79,0.13
Semolina dosa (Suji/Rava dosa),227.05,1502.63,1512.93,3665.51,4.59,116.04,196.56,28.14,202.36,254.06,1.39,0.19
Onion tomato uttapam,462.02,5458.22,9283.93,28671.18,0.00,5.82,33.48,12.35,143.53,90.20,0.36,0.07
Paneer kaathi roll,285.94,3708.31,4319.96,10424.25,30.84,101.66,131.60,29.55,221.03,130.50,1.42,0.13
Makki ki roti,263.97,9436.69,4332.02,1297.37,39.07,14.76,102.02,53.51,236.22,152.79,1.11,0.16
Washed moong dal (Dhuli moong ki dal),50.00,208.54,321.64,997.66,0.00,8.48,47.49,19.19,150.64,151.48,0.64,0.11
Washed urad dal (Dhuli urad ki dal),61.32,366.21,595.72,1820.16,0.00,10.24,42.13,21.32,142.21,143.16,0.72,0.08
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,425.79,710.88,2148.68,0.00,14.33,46.19,21.16,149.47,183.95,0.99,0.12
Dry washed urad,124.71,444.24,671.86,2050.46,0.00,27.08,114.17,57.16,295.79,384.33,1.89,0.21
Mixed dal,61.93,371.54,624.55,1869.15,0.00,11.00,42.41,19.72,141.36,144.27,0.78,0.10
Whole moong (Moong ki dal),53.70,323.93,505.65,1579.20,0.00,13.58,37.07,22.53,123.86,149.16,0.68,0.11
Whole masoor (Masoor ki dal),54.05,306.59,511.34,1549.67,0.00,12.20,29.01,12.74,123.72,112.96,0.95,0.10
Whole moth (Moth ki dal),55.00,337.95,509.59,1599.97,0.00,18.98,37.86,23.14,125.08,164.84,0.95,0.08
Whole urad (Urad ki dal),53.80,324.95,521.67,1601.57,0.00,13.07,36.56,21.91,126.12,141.57,0.78,0.09
Moti mahal dal (Urad rajmah mix dal),103.13,1001.32,1157.90,3158.37,1.92,38.13,74.56,33.51,157.61,246.09,1.05,0.13
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,773.59,1286.60,3881.21,0.00,53.87,87.47,55.36,358.63,388.59,2.43,0.27
Chickpeas curry (Safed channa curry),163.43,811.11,1409.18,3979.53,0.00,30.61,83.72,35.09,357.99,334.30,1.82,0.23
Lobia curry,148.99,731.06,1079.10,3434.16,0.00,36.80,113.74,68.62,355.41,465.14,2.21,0.26
Soyabean curry,163.28,1411.26,2269.00,6066.17,0.00,65.13,144.26,62.61,352.69,563.45,2.79,0.26
Kidney bean curry (Rajmah curry),143.73,724.31,1085.92,3529.48,0.00,47.87,123.00,58.61,354.60,485.90,2.27,0.26
Sambar,96.92,1886.49,544.73,1179.96,0.00,30.24,59.32,32.16,159.54,298.29,1.24,0.20
Besan kadhi with pakodies,403.35,5250.47,8747.40,26784.04,0.94,24.53,27.83,8.75,60.80,70.21,0.38,0.03
Khatta channa,202.57,1251.06,2209.05,6291.16,0.00,40.77,86.54,38.76,513.32,344.78,1.94,0.25
Sprouted moong dal chat,32.47,66.64,34.80,122.83,0.00,16.54,30.22,17.45,87.07,218.92,0.88,0.05
Potato cauliflower (Aloo gobhi),106.18,1022.19,1605.37,5068.74,0.00,22.87,44.46,25.22,254.76,378.78,1.07,0.07
Potato capsicum (Shimla mirch aloo),125.53,1146.87,1861.63,5844.49,0.00,16.45,35.27,22.01,277.92,364.15,0.86,0.09
Cabbage and peas (Pattagobhi aur matar),63.88,343.88,529.15,1635.28,0.00,45.50,40.40,28.59,253.73,255.50,1.10,0.10
Carrot and fenugreek leaves (Gajar methi),61.92,516.93,674.71,2342.76,0.00,128.83,46.65,37.10,262.91,255.95,2.72,0.12
Potato fenugreek (Aloo methi),135.15,1254.29,1981.55,6304.68,0.00,107.80,43.75,38.24,221.93,370.24,2.53,0.12
Brinjal bhartha (Baingan ka bhartha),65.12,567.55,879.61,2773.15,0.00,17.85,29.98,20.02,132.15,222.05,0.48,0.10
Dry potato (Sookhe aloo),103.15,504.62,841.34,2550.76,0.00,17.20,45.21,26.89,199.99,531.41,0.83,0.10
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,4485.79,1551.24,3706.46,0.00,51.92,55.02,40.93,271.65,336.81,1.34,0.14
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,4519.36,1559.92,3760.63,0.00,35.37,55.98,32.97,286.06,344.84,1.33,0.13
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,3373.59,1176.92,2822.51,0.00,48.63,44.13,26.35,219.60,278.73,0.84,0.10
Raw turnip with coconut ,132.15,4441.12,1543.31,3749.93,0.00,50.65,51.75,22.89,275.55,312.07,0.82,0.10
Raw papaya with coconut (Papaya thoran),132.75,4487.37,1573.09,3666.77,0.00,33.74,40.45,27.59,270.56,240.52,0.82,0.13
Stuffed okra (Bharwa bhindi),94.34,950.69,1555.76,4732.25,0.00,86.89,57.10,64.47,210.03,265.83,1.18,0.14
Stuffed round gourd (Bharwa tinde),72.80,713.94,1164.52,3563.32,0.00,20.21,27.09,18.75,180.15,132.68,0.59,0.08
Stuffed capsicum (Bharwa shimla mirch),90.94,710.23,1125.61,3560.84,0.00,15.17,32.59,18.80,173.94,312.57,0.61,0.08
Stuffed brinjal (Bharwa baingan),93.00,950.15,1564.30,4757.68,0.00,24.37,34.47,23.60,212.88,250.79,0.75,0.12
Stuffed tomatoes (Bharwa tamatar),93.35,1394.51,1334.50,2965.78,0.00,59.16,54.52,18.83,165.85,202.88,0.62,0.08
Pea potato curry (Aloo matar),100.92,631.82,1031.29,3196.23,0.00,21.10,40.52,27.53,154.83,274.26,1.02,0.13
Pea paneer curry (Matar paneer),134.83,2219.72,1804.05,3252.12,0.00,105.20,92.18,27.99,157.34,188.18,1.08,0.14
Pea mushroom curry (Matar mushroom),93.30,635.30,1030.03,3220.39,0.00,22.70,48.39,26.49,155.48,234.06,0.97,0.13
Pea curry (Matar ki sabzi),102.99,627.39,1033.98,3183.12,0.00,24.48,42.77,30.42,154.75,221.62,1.20,0.16
Pea vadi curry,101.95,622.96,1025.84,3141.94,0.00,23.62,44.59,30.16,149.51,216.10,1.20,0.16
Paneer curry,176.52,4126.76,2989.88,4484.07,0.00,189.06,139.48,21.83,216.09,142.72,0.81,0.09
Lotus stem curry (Kamal kakdi curry),110.34,938.16,1427.13,4474.81,0.00,26.59,44.69,21.82,217.05,345.65,1.71,0.14
Gravy for kofta,125.59,1434.63,2113.44,6283.28,1.18,39.65,42.51,19.19,312.86,199.42,0.75,0.08
Pea kofta curry (Matar kofta curry),595.66,7648.10,13003.86,40099.15,0.21,13.84,21.50,12.23,83.07,88.85,0.56,0.07
Spinach kofta curry (Palak kofta curry),571.78,7427.78,12579.95,38832.86,0.20,29.31,17.90,20.78,104.51,158.65,0.83,0.06
Paneer kofta curry,670.91,9450.37,14918.83,44643.90,0.24,59.49,44.26,7.07,121.72,48.29,0.34,0.03
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,8177.68,13870.18,42798.11,0.23,19.31,20.67,7.80,108.61,109.38,0.65,0.05
Raw banana kofta curry (Kela kofta curry),627.27,8205.31,13944.75,43014.20,0.23,9.23,12.07,6.84,88.40,71.35,0.28,0.03
Cauliflower kofta curry (Phoolgobhi kofta curry),641.10,8405.75,14273.88,44035.94,0.23,12.26,18.15,7.82,93.65,82.16,0.40,0.03
Cabbage kofta curry (Pattagobhi kofta curry),639.81,8374.77,14234.40,43899.34,0.23,15.46,16.56,7.32,92.85,72.21,0.34,0.03
Ghiya/Lauki Kofta Curry,638.71,8374.23,14231.61,43896.56,0.23,11.64,15.07,6.58,91.43,60.75,0.33,0.03
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,8131.10,13438.53,41051.05,0.22,37.71,25.35,16.59,99.37,125.10,0.68,0.05
Vegetarian egg kofta curry,627.41,8348.13,13824.47,42217.56,0.22,28.39,26.30,8.05,95.89,104.04,0.39,0.04
Baked vegetables,88.99,2685.07,1146.21,231.80,8.27,80.20,90.12,19.93,124.70,221.88,0.62,0.07
Cauliflower musallam (Phoolgobhi musallam),58.83,469.28,672.07,2159.21,0.00,24.61,39.61,20.87,123.36,266.34,0.83,0.06
Baked vegetables with spinach ,77.79,2163.45,986.69,546.36,6.55,78.63,74.08,35.62,122.85,314.32,1.16,0.10
Baked potato with skin ,135.77,5243.81,2214.89,380.72,21.72,90.06,121.89,21.18,354.50,392.71,0.50,0.07
Shepherd's pie (vegetarian),135.63,4094.25,1874.45,763.45,10.62,85.59,86.23,25.04,118.20,332.08,0.76,0.11
Baked brinjal in tomato sauce,38.63,423.59,344.28,726.70,0.00,26.24,31.14,15.57,79.66,187.99,0.32,0.07
Dum aloo,682.33,9067.48,15158.94,46646.23,0.49,16.49,19.14,8.63,183.85,119.55,0.36,0.04
Spinach paneer (Palak paneer),77.68,1587.57,1101.39,1711.86,0.00,113.25,69.62,54.13,166.87,386.63,1.85,0.13
Methi chaman,475.62,6884.08,10537.24,31291.37,0.00,60.57,41.04,12.51,54.94,115.42,0.63,0.04
Sarson ka saag,87.84,3303.10,1432.99,570.51,13.24,134.41,61.91,55.11,165.45,399.56,2.43,0.20
Jackfruit sabzi (Kathal ki sabzi),625.40,8126.67,13872.31,42800.21,0.00,9.85,8.83,8.88,58.95,80.75,0.27,0.05
Avial,124.56,6227.57,550.74,219.96,0.00,31.90,60.03,36.40,81.50,378.30,1.01,0.21
Al yakhani,147.54,2256.26,2791.78,7477.29,4.74,103.88,84.26,18.73,206.24,198.35,0.46,0.04
Shahi paneer,156.50,7253.38,3336.88,668.64,23.70,125.38,97.37,18.29,215.35,170.60,0.62,0.07
Paneer in butter sauce,145.61,5258.02,2378.26,392.42,9.90,170.59,126.58,23.01,151.45,158.34,0.85,0.09
Methi malai paneer,194.98,5462.57,3671.44,4730.85,7.11,183.96,135.40,22.08,221.16,125.72,0.77,0.09
Chilli paneer,777.51,10750.48,17529.38,52208.83,0.34,42.90,38.62,8.81,89.04,54.25,0.36,0.05
Paneer makhana korma,775.82,11231.25,17613.41,50403.82,1.58,72.89,81.40,20.51,77.01,95.39,0.55,0.09
Kadhai Paneer,107.99,1950.52,1574.98,2863.85,0.00,91.53,80.68,22.40,144.33,290.81,0.65,0.12
Roghan josh,139.59,622.68,707.05,1802.96,1.40,112.33,106.87,21.00,204.31,294.04,1.77,0.08
Spinach mutton (Palak mutton),80.32,396.51,365.38,1027.28,0.68,96.88,68.66,54.93,121.10,464.28,2.38,0.12
Pea keema curry (Matar keema ki sabzi),133.00,2401.20,2411.70,2748.27,22.87,35.60,89.75,27.29,148.38,252.63,1.35,0.12
Keema kofta curry,154.45,3273.04,3229.65,2994.87,57.79,49.89,118.72,22.07,311.51,251.56,1.25,0.08
Kashmiri mutton koftas (Gushtaba),97.42,2896.49,2194.37,1102.68,25.31,52.53,86.43,15.88,130.11,171.55,0.85,0.05
Mutton yakhni,104.13,239.48,472.15,1137.71,0.00,88.61,72.01,8.54,101.02,154.30,1.66,0.02
